feature,importance
StoreDowMeanSales,0.1765921843675479
StorePromoMeanSales,0.17154926501197443
StoreMeanSales,0.0987440091732664
StoreMonthMeanSales,0.09432217269494081
StoreMedianSales,0.09338732988027093
Promo,0.05326225052752214
StoreMaxSales,0.04822651021191656
DowSalesIndex,0.04584246104820528
StoreMeanCustomers,0.037980551235009354
AnyPromo,0.030577805421278522
StoreStdSales,0.02389234122020688
DayOfWeek,0.013131513066990029
IsWeekend,0.006964850418842837
DayOfWeekSin,0.006612141436379655
DaysToMonthEnd,0.0064682650279376626
Day,0.005947168910514283
MonthSalesIndex,0.005884133619685337
DaysToChristmas,0.005781570228965343
DayOfYear,0.0055394111157961775
DayOfWeekCos,0.0048872244821761765
WeekOfYear,0.004802438198435429
DaysToNextHoliday,0.004263728556091817
DaysAfterLastHoliday,0.004172665349073767
DayOfYearCos,0.0031239202021722313
StoreSalesPerCustomer,0.003121962935570621
TimeIndex,0.00285964824277924
StoreOpenDays,0.0028102316986981096
DayOfYearSin,0.002757414167764568
IsPayWeek,0.002449176881719215
IsHolidayWeek,0.002388290808290743
MonthCos,0.0020773387609188468
CompetitionDistanceLog,0.001945713008907111
Month,0.0019185497191255446
IsDayAfterHoliday,0.0018611380054560287
IsDayBeforeHoliday,0.0016696286191614268
CompetitionDistance,0.0015959306287748856
IsChristmasRunUp,0.0014448833698214871
IsDecember,0.0012853107108358674
IsPromo2Active,0.001279431888103197
StoreType_a,0.0012470134759021104
PromoAndPromo2,0.0011705909996252335
Promo2SinceWeek,0.0009806211140840622
Assortment_a,0.0009457747787052437
Year,0.0009363297775969719
Promo2SinceYear,0.0009037861611829219
Store,0.0007469847805438337
Assortment_c,0.0006735980125079963
MonthSin,0.0006694480531267097
StoreType_d,0.000643877142534383
MonthPhase,0.0006307639394189472
Promo2ActiveWeeks,0.0006078916402892784
CompetitionOpenMonths,0.0005872987106831218
PromoInterval_None,0.0005738928087365761
IsMonthStart,0.0005533491599059642
StoreType_b,0.0005348271657931715
CompetitionOpenSinceYear,0.0005019906357427274
CompetitionOpenSinceMonth,0.0004885874866903069
IsSunday,0.00045284771180044837
Quarter,0.00044154963148768496
Promo2,0.00042934462918545104
SchoolHoliday,0.000312126155474821
IsMonthEnd,0.0003048246646410666
IsMidMonth,0.00019155442750512427
IsCityCentre,0.0001732475040356333
StoreType_c,0.00017237536735104406
DaysInMonth,0.000170755231901004
"PromoInterval_Jan,Apr,Jul,Oct",0.00014404801682146813
"PromoInterval_Feb,May,Aug,Nov",0.00010044831787607783
Assortment_b,8.543093864932599e-05
CompetitionNotYetOpen,6.956990398850269e-05
"PromoInterval_Mar,Jun,Sept,Dec",6.72255632935442e-05
IsStateHoliday,2.5836874119232798e-05
StateHoliday_0,2.268601439432384e-05
CompetitionIsNew,1.1898845844419642e-05
StateHoliday_a,7.043507434561373e-06
HasCompetition,0.0
StateHoliday_c,0.0
StateHoliday_b,0.0
