feature,importance_mean,importance_std
Store,0.10238122077892815,0.001028955845572086
Promo,0.0345299052290405,0.0003720723603072932
Date,0.02460976071991657,0.001206962353328512
CompetitionDistance,0.0013541362992934107,8.924129823191954e-05
Promo2SinceYear,0.0011278053795346448,4.23518903339243e-05
Promo2,0.0008986789768338591,3.792393466199594e-05
PromoInterval,0.0008775229246869761,2.135164279505095e-05
Assortment,0.00035908896946542274,3.3932911534732034e-05
StoreType,0.0003205324073860538,1.4728880507254551e-05
CompetitionOpenSinceYear,0.00024548676871442393,9.123655675776645e-06
Promo2SinceWeek,0.00017719082946617468,3.6140938782817606e-05
CompetitionOpenSinceMonth,0.00012384139972709818,1.2307534249253285e-05
SchoolHoliday,4.552329028228996e-05,8.983412170797762e-06
DayOfWeek,0.0,0.0
Sales,0.0,0.0
StateHoliday,0.0,0.0
Open,0.0,0.0
Customers,0.0,0.0
HasCompetition,0.0,0.0
IsSalesOutlier,0.0,0.0
