feature,importance
TimeIndex,2244
StoreOpenDays,2100
MonthSalesIndex,1705
DaysToNextHoliday,1547
StoreSalesPerCustomer,1512
CompetitionDistance,1408
DowSalesIndex,1404
Day,1363
DaysAfterLastHoliday,1356
StorePromoMeanSales,1331
DayOfYear,1258
DayOfWeek,1166
StoreStdSales,1102
DayOfYearCos,1051
DayOfYearSin,1039
DaysToMonthEnd,955
StoreDowMeanSales,924
Store,807
StoreMaxSales,787
StoreMeanCustomers,734
Promo2ActiveWeeks,729
StoreMonthMeanSales,672
CompetitionOpenMonths,664
Promo,603
StoreMedianSales,531
StoreMeanSales,523
WeekOfYear,520
DayOfWeekSin,472
CompetitionOpenSinceYear,420
CompetitionDistanceLog,349
StoreType_a,339
CompetitionOpenSinceMonth,338
Promo2SinceYear,337
DayOfWeekCos,308
Assortment_a,295
Promo2SinceWeek,291
SchoolHoliday,284
Year,259
IsDayBeforeHoliday,255
IsPayWeek,210
DaysToChristmas,205
Month,202
StoreType_c,184
"PromoInterval_Jan,Apr,Jul,Oct",162
StateHoliday_0,162
IsHolidayWeek,159
AnyPromo,146
"PromoInterval_Feb,May,Aug,Nov",138
MonthSin,129
MonthCos,129
IsPromo2Active,125
CompetitionNotYetOpen,106
Assortment_c,102
StoreType_d,99
StoreType_b,82
"PromoInterval_Mar,Jun,Sept,Dec",82
IsStateHoliday,80
Promo2,79
IsWeekend,77
PromoAndPromo2,73
IsDayAfterHoliday,73
DaysInMonth,73
IsMidMonth,63
Assortment_b,61
IsChristmasRunUp,50
StateHoliday_a,42
CompetitionIsNew,33
IsSunday,22
IsMonthEnd,18
IsCityCentre,14
MonthPhase,13
IsMonthStart,11
StateHoliday_b,10
Quarter,4
HasCompetition,0
IsDecember,0
StateHoliday_c,0
PromoInterval_None,0
