feature,importance
StorePromoMeanSales,0.15630380541769984
StoreDowMeanSales,0.15309039037268976
StoreMonthMeanSales,0.09709208010654292
StoreMedianSales,0.09496207953171637
StoreMeanSales,0.07213517080239919
Promo,0.04704422024518571
StoreMeanCustomers,0.04472827484023254
StoreMaxSales,0.040585443982349576
DowSalesIndex,0.040552594305042586
StoreStdSales,0.034958457262441595
AnyPromo,0.025944840875484158
TrendDE,0.01510803078496906
DayOfWeek,0.013744087845244618
TrendState,0.008008681651763857
DayOfWeekSin,0.0077848063273410675
DaysToMonthEnd,0.006813945589646453
Day,0.006804595087078195
MonthSalesIndex,0.006577163241077786
DaysToChristmas,0.006374713988404226
IsWeekend,0.0063325261337502
DayOfYear,0.006110096364980334
DayOfWeekCos,0.0056456299137447805
DaysAfterLastHoliday,0.005381758403581678
DaysToNextHoliday,0.0052452712339516394
WeekOfYear,0.004645070381274902
StoreSalesPerCustomer,0.004641841022853443
TimeIndex,0.004444760270538041
DayOfYearCos,0.00406584911800499
DayOfYearSin,0.00406392128044855
StoreOpenDays,0.003480652345727201
CompetitionDistanceLog,0.003304574320873912
CompetitionDistance,0.0028240594029699663
IsPayWeek,0.0026135020137458657
Max_TemperatureC,0.0022723179848553017
IsHolidayWeek,0.0022383362910375483
IsDayAfterHoliday,0.0020318235311631494
Mean_TemperatureC,0.0019747429679849962
Promo2ActiveWeeks,0.0019721093759157067
Month,0.001967718164351458
Store,0.0019648211488420193
StoreType_a,0.001939179005423604
MonthCos,0.001918980386734883
Mean_Humidity,0.0018937129883346735
CompetitionOpenMonths,0.0017776757510049935
IsDayBeforeHoliday,0.001725493779067352
Min_TemperatureC,0.0017150272129854386
Promo2SinceYear,0.0016369953728991803
Promo2SinceWeek,0.001495946264684414
Mean_Wind_SpeedKm_h,0.0014560218384357048
Year,0.0014288444238705767
CompetitionOpenSinceYear,0.0013385660275023815
Assortment_a,0.0013206723386878913
IsDecember,0.0012832135370050854
IsPromo2Active,0.001227166490332323
CompetitionOpenSinceMonth,0.0012125713223889566
IsChristmasRunUp,0.0012050943948651441
CloudCover,0.0011660021831135417
MonthSin,0.0011012129897776828
StoreType_d,0.0010482613869053478
MonthPhase,0.0009710633425153859
PromoAndPromo2,0.0008811338040674499
Precipitationmm,0.0008692441303077578
Assortment_c,0.0008297049332923856
Promo2,0.0007935823898519599
IsMonthStart,0.0007532202080551618
PromoInterval_None,0.0007216816365957151
State_ST,0.0007074298383957903
StoreType_b,0.0007067995230596872
Quarter,0.0006626603483199647
State_BE,0.0006288632983159982
SchoolHoliday,0.0005363308939199524
State_SN,0.00048333284346981515
IsSunday,0.0004824446979255735
IsMonthEnd,0.00045538794257350836
State_NW,0.0004454617480056271
IsCityCentre,0.0004369075669310049
IsMidMonth,0.00040612875294667534
StoreType_c,0.0004052513164222466
DaysInMonth,0.00039181147486446485
"PromoInterval_Jan,Apr,Jul,Oct",0.00034423653415632067
State_TH,0.00032233716946491396
State_SH,0.0003219605019457557
State_BY,0.00029827462381934634
CompetitionNotYetOpen,0.0002953299061233889
IsStateHoliday,0.0002430398414029063
"PromoInterval_Feb,May,Aug,Nov",0.0002413199866751866
State_HE,0.0002373320902450122
StateHoliday_0,0.00021726834813562087
"PromoInterval_Mar,Jun,Sept,Dec",0.00019077413084159247
State_HH,0.00018780803151943092
State_BW,0.0001825855618127783
State_RP,0.00015714863690209434
CompetitionIsNew,0.00014659148323598568
StateHoliday_a,0.00012408931805706048
Assortment_b,0.00010532498844713738
"State_HB,NI",5.039426561714507e-05
StateHoliday_b,3.326938751477579e-05
StateHoliday_c,7.07288232311001e-06
HasCompetition,0.0
