feature,importance_mean,importance_std
Store,0.10097177647821809,0.0009279546687415138
Promo,0.03093281318463899,0.0005289321617038114
Date,0.024204368460232217,0.0014800397359163609
Promo2SinceYear,0.004724326100889205,8.531133036083088e-05
Promo2,0.0042468585170354345,5.334638349418033e-05
Promo2SinceWeek,0.0015620366990939754,4.1950705717461496e-05
PromoInterval,0.0009176842740998836,0.00013986526504324633
CompetitionDistance,0.00044055934328450047,7.115063301760953e-05
Assortment,0.00039842583009885857,6.147210059241172e-05
CompetitionOpenSinceYear,0.0003063264017934368,5.545383611038253e-05
StoreType,0.00021925056868591733,3.9904117314356806e-05
DayOfWeek,0.0,0.0
Sales,0.0,0.0
Customers,0.0,0.0
Open,0.0,0.0
StateHoliday,0.0,0.0
IsSalesOutlier,0.0,0.0
HasCompetition,0.0,0.0
CompetitionOpenSinceMonth,-0.0002003989705675243,6.760649441793612e-05
SchoolHoliday,-0.0014977748248080995,2.7060717103220922e-05
