lag,acf,pacf
0,1.0,1.0
1,-0.025176103526057206,-0.025202858152546102
2,-0.07077569512448408,-0.07160694936166492
3,0.021329162930883033,0.017779462269653195
4,-0.0565707816876444,-0.06122993492584836
5,-0.18616714072379725,-0.18919364612773257
6,-0.180740357313728,-0.21186220371713127
7,0.5466234676101059,0.5518535659780169
8,-0.1910444813964306,-0.3181893521433154
9,-0.22554645676659293,-0.2826478581366845
10,-0.059308037905149505,-0.16228680228162382
11,-0.021950886553999356,0.09745737949637284
12,-0.1198824789467869,0.02433581050262202
13,-0.043404357791147034,0.06604915436561307
14,0.7316294423644626,0.5058415956812935
15,-0.05594999965337603,-0.05941060265811902
16,-0.09809147743062867,-0.06202791927533999
17,-0.012026942817179495,-0.12968770065525545
18,-0.037615979105360686,0.006597618186685062
19,-0.15719665300929153,0.019627993465889677
20,-0.1563968165552125,-0.04703288912632685
21,0.5875987847755751,0.24487207609872838
